Name SPAS-19
ShortName SPAS19
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon SPAS19
Colour 255 255 255
ReloadTime 120
Recoil 10
Damage 1
Accuracy 22
LoadIntoGun 6
NumBullets 8
BulletSpeed 7.0
ShootDelay 20
ShootSound _KPSS12Fire
ReloadSound _KPSS12Reload
Mode SemiAuto
Scope None
ZoomLevel 1.0
FOV ZoomLevel 1.25
Distort Sound False
Deployable False
DeployedModel None
ModelScale 0.2
OneHanded False
Model dwfirearms.KPSS12
Texture KPSS12_Standard
AllowAllAttachments true
AllowScopeAttachments true
AllowBarrelAttachments true
AllowGripAttachments true
AllowStockAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
