Name Winchester Auto 16
ShortName WA16
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon WinchesterAuto16
Colour 255 255 255
ReloadTime 180
Recoil 5
Damage 1
Accuracy 21
LoadIntoGun 16
NumBullets 8
BulletSpeed 7.0
ShootDelay 5
ShootSound _RoselupHCAFire
ReloadSound _RoselupHCAReload
Mode SemiAuto
Scope None
ZoomLevel 1.0
FOV ZoomLevel 1.25
Distort Sound False
Deployable False
DeployedModel None
ModelScale 0.2
OneHanded False
Model dwfirearms.RoselupHCA
Texture RoselupHCA_Steam
AllowAllAttachments true
AllowScopeAttachments true
AllowBarrelAttachments true
AllowGripAttachments true
AllowStockAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
