Name AEK-972
ShortName AEK972
Ammo 556NATO30
Description 5.56x45mm NATO
Icon AEK972
Colour 255 255 255
ReloadTime 35
Recoil 0
Damage 1
Accuracy 1
RoundsPerMin 900
ShootSound SG550Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
