Name AK-12SP
ShortName AK12SP
Ammo 545Warsaw30
Icon AK12
Colour 255 255 255
ReloadTime 35
Recoil 1
Damage 1
Accuracy 1
RoundsPerMin 1000
ShootSound SG550Shoot
ReloadSound MP44Reload
Mode Burst
NumBurstRounds 3
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
