Name AK-74N
ShortName AK74N
Ammo 545Warsaw30
Description 5.45x39mm WTO
Icon AK74N
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 4
RoundsPerMin 600
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope okp7
ZoomLevel 2
FOVZoomLevel 1.25
Model mpack.ak74
ModelScale 0.07
Texture AK74N
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
