Name AKM-74/2
ShortName AKM742
Ammo 545Warsaw30
Icon AKM742
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 2
RoundsPerMin 600
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak74
ModelScale 0.07
Texture Skin_Gun_akm742
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
