Name AKS-74UN
ShortName AKS74UN
Ammo 545Warsaw30
Description 5.45x39mm WTO
Icon AKS74UN
Colour 255 255 255
ReloadTime 40
Recoil 5
Damage 1
Accuracy 4
RoundsPerMin 600
ShootSound MP5Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope okp7
ZoomLevel 2.5
FOVZoomLevel 1.25
Model mpack.ak74
ModelScale 0.07
Texture Skin_Gun_ak74
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
