Name AN-94
ShortName AN94
Ammo 545Warsaw30
Icon AN94
Colour 255 255 255
ReloadTime 40
Recoil 1
Damage 1
Accuracy 3
RoundsPerMin 1800
ShootSound AK74Shoot
ReloadSound MP44Reload
Mode Burst
NumBurstRounds 2
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.an94
ModelScale 0.09
Texture AN94
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
