Name ARX-160
ShortName ARX160
Ammo 556NATO30
Icon ARX160
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 1
RoundsPerMin 700
ShootSound G36Shoot
ReloadSound MP40Reload
Mode FullAuto
BulletSpeed 10
Scope aug
ZoomLevel 4.0
FOVZoomLevel 1.0
Model mpack.arx160
ModelScale 0.14
Texture Skin_Gun_arx160
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
