Name G 41
ShortName G41
Ammo 556NATO30
Description 5.56x45mm NATO
Icon G41AR
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 1
RoundsPerMin 850
ShootSound M14Shoot
ReloadSound StenReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.mp5
ModelScale 0.12
Texture Skin_Gun_mp5
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
