Name HK 33A2
ShortName HK33A2
Ammo 556NATO30
Icon HK33
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 1
RoundsPerMin 750
ShootSound M14Shoot
ReloadSound ThompsonReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.hk33
ModelScale 0.12
Texture hk33blackTD
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
