Name K-3
ShortName K3
Ammo 545Warsaw30
Icon K3
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 5
RoundsPerMin 600
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.l85
ModelScale 0.10
Texture L85_Snow_TD
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
