Name QBZ-97A
ShortName QBZ97A
Ammo 556NATO30
Description 5.56x45mm NATO
ShowDamage true
ShowReloadTime true
Icon QBZ95
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 3
RoundsPerMin 650
ShootSound G36Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.qbz95
ModelScale 0.11
Texture QBZ95
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
