Name SL-8
ShortName SL8
Ammo 556NATO30
Description 5.56x45mm NATO
Icon SL8
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 1
ShootDelay 1
ShootSound G36Shoot
ReloadSound MP40Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.sl8
ModelScale 0.24
Texture Skin_Gun_sl8
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
