Name Sturmgewehr 77
ShortName STG77
Ammo 556NATO30
Icon AUGA1
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 2
RoundsPerMin 680
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1
FOVZoomLevel 3
Model mpack.auga1
ModelScale 0.12
Texture Skin_Gun_auga1
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
