Name vz.58
ShortName VZ58
Ammo 762Warsaw30
Icon AK47
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 5
RoundsPerMin 800
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.vz58
ModelScale 0.07
Texture skin_gun_vz58
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x39mm WTO
