Name AG-3F1
ShortName AG3F1
Ammo 762NATO20
Description 7.62x51mm NATO
Icon AG3F1
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 4
RoundsPerMin 550
ShootSound FNSCARShoot
ReloadSound ThompsonReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.g3
ModelScale 0.12
Texture Skin_Gun_ag3
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
