Name AK-308
ShortName AK308
Ammo 762NATO20
Icon AK308
Colour 255 255 255
ReloadTime 35
Recoil 3
Damage 1
Accuracy 3
RoundsPerMin 700
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
