Name FAL 50.61 PARA
ShortName FAL5061PARA
Ammo 762NATO20
Icon FAL
Colour 255 255 255
ReloadTime 35
Recoil 3
Damage 1
Accuracy 3
RoundsPerMin 700
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.fal
ModelScale 0.09
Texture Skin_Gun_fal
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
