Name SL-9SD
ShortName SL9SD
Ammo 762NATO10
Description 7.62x51mm NATO
Icon SL9SD
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 3
ShootDelay 1
ShootSound None
ReloadSound MP40Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.sl9sd
ModelScale 0.24
Texture Skin_Gun_sl9sd
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
