Name SVK-12
ShortName SVK12
Ammo 762MMR10
Ammo 762MMR15
Ammo 762MMR20
Icon SVK12
Colour 255 255 255
ReloadTime 35
Recoil 3
Damage 1
Accuracy 2
RoundsPerMin 700
ShootSound SG550Shoot
ReloadSound MP44Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x54mmR
