Name ShAK-12
ShortName SHAK12
Ammo 50Beowulf10
Description .50 Beowulf
ShowDamage true
ShowReloadTime true
Icon SHAK12
Colour 255 255 255
ReloadTime 40
Recoil 7
Damage 1
Accuracy 5
RoundsPerMin 600
ShootSound DesertEagleShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.qbz95
ModelScale 0.11
Texture QBZ95
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
