Name T44 Rifle
ShortName T44
Ammo 762NATO20
Icon M14
Colour 255 255 255
ReloadTime 40
Recoil 6
Damage 1
Accuracy 5
RoundsPerMin 700
ShootSound M14Shoot
ReloadSound BARReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.m14
ModelScale 0.09
Texture Skin_Gun_m14
AllowAllAttachments true
AllowScopeAttachments true
AllowGripAttachments true
AllowBarrelAttachments true
AllowStockAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
