Name Zastava M77PS
ShortName ZastavaM77PS
Ammo 762NATO10
Icon ZastavaM77
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 1
ShootDelay 2
ShootSound M14Shoot
ReloadSound ThompsonReload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.g3
ModelScale 0.12
Texture ZastavaM77
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
