Name AK-107
ShortName AK107
Ammo 545Warsaw30
Description 5.45x39mm WTO
Icon AK107
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 2
RoundsPerMin 850
ShootSound AK47Shoot
ReloadSound MP40Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.aks74u
ModelScale 0.07
Texture AK105
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
