Name AKS-74U
ShortName AKS74U
Ammo 545Warsaw30
Icon AKS74U
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 3
RoundsPerMin 735
ShootSound AK74Shoot
ReloadSound MP40Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.aks74u
ModelScale 0.07
Texture Skin_Gun_aks74u
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.45x39mm WTO
