Name AM-17
ShortName AM17
Ammo 545Warsaw30
Description 5.45x39mm WTO
Icon AM17
Colour 255 255 255
ReloadTime 35
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 750
ShootSound SG550Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.scarpdw
ModelScale 0.06
Texture Skin_Gun_scarpdw
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
