Name F88SA1C Austeyr
ShortName F88SA1C
Ammo 556NATO30
Icon F88C
Colour 255 255 255
ReloadTime 40
Recoil 2
Damage 1
Accuracy 3
RoundsPerMin 700
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope f88sa1
ZoomLevel 4
FOVZoomLevel 1.25
Model mpack.auga1
ModelScale 0.12
Texture F88
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
