Name L22 Carbine
ShortName L22
Ammo 556NATO30
Icon L85A2
Colour 255 255 255
ReloadTime 35
Recoil 3
Damage 1
Accuracy 3
RoundsPerMin 610
ShootSound M14Shoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.l22
ModelScale 0.10
Texture Skin_Gun_l22
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 5.56x45mm NATO
