Name NSV Utyos
ShortName NSV
Ammo 127Warsaw100
Ammo 127Warsaw250
Ammo 127Warsaw500
Description 12.7x108mm WTO
Icon 6P49
Colour 255 255 255
ReloadTime 100
Recoil 6
Damage 1
Accuracy 7
RoundsPerMin 800
ShootSound RPDShoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.pkp
ModelScale 0.36
Texture Skin_Gun_pkp
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
