Name QJY-88
ShortName QJY88
Ammo 58PLA150
Ammo 58PLA250
Ammo 58PLA500
Description 5.8x42mm DBP87
Icon QJY88
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 100
Recoil 4
Damage 1
Accuracy 4
RoundsPerMin 650
ShootSound RPDShoot
ReloadSound BrowningReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.qjy88
ModelScale 0.08
Texture Skin_Gun_qjy88
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
