Name SCAR HAMR
ShortName SCARHAMR
Ammo 556NATO50
Description 5.56x45mm NATO
ShowDamage true
ShowReloadTime true
Icon HAMR
Colour 255 255 255
ReloadTime 80
Recoil 4
Damage 1
Accuracy 5
RoundsPerMin 650
ShootSound FNSCARShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.hamr
ModelScale 0.06
Texture Skin_Gun_hamr
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
