Name Tec-9
ShortName Tec9
Ammo 919NATO20
Ammo 919NATO33
Description 9x19mm Parabellum
Icon TEC9
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1.25
Accuracy 5
RoundsPerMin 1500
ShootSound MiniUziShoot
ReloadSound ColtReload
Mode FullAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.tec9
ModelScale 0.11
Texture Skin_Gun_tec9
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
