Name Daewoo K7
ShortName DaewooK7
Ammo 919NATO30
Icon K7
Colour 255 255 255
ReloadTime 40
Recoil 1
Damage 29
Accuracy 3
RoundsPerMin 1100
ShootSound MP5Shoot
ReloadSound MP5KReload
Mode FullAuto
OneHanded True
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.k2
ModelScale 0.13
Texture skin_gun_k2
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 9x19mm Parabellum
