Name Viper 5
ShortName Viper5
Ammo 919NATO30
Description 9x19mm Parabellum
Icon MP5
Colour 255 255 255
ReloadTime 40
Recoil 4
Damage 1
Accuracy 3
RoundsPerMin 800
ShootSound P90Shoot
ReloadSound StenReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.mp5
ModelScale 0.12
Texture Skin_Gun_mp5
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
