Name Vityaz-SN
ShortName VityazSN
Ammo 919NATO30
Description 9x19mm Parabellum
Icon VityazSN
Colour 255 255 255
ReloadTime 40
Recoil 3
Damage 1
Accuracy 3
RoundsPerMin 700
ShootSound P90Shoot
ReloadSound StenReload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.vityazsn
ModelScale 0.18
Texture skin_gun_vityazsn
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
