Name Draco Pistol
ShortName DracoPistol
Ammo 762Warsaw30
Icon Krinkov
Colour 255 255 255
ReloadTime 40
Recoil 6
Damage 1.5
Accuracy 5
RoundsPerMin 600
ShootSound AK47Shoot
ReloadSound MP44Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.draco
ModelScale 0.07
Texture Skin_Gun_draco
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x39mm WTO
