Name P-64
ShortName P64
Ammo 918Makarov8
Icon P64
Colour 255 255 255
ReloadTime 30
Recoil 2
Damage 1.5
Accuracy 8
ShootDelay 1
ShootSound MakarovShoot
ReloadSound ColtReload
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
Model mpack.makarov
ModelScale 0.06
Texture Skin_Gun_makarov
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 9x18mm Makarov
