Name Steyr M-A1
ShortName SteyrMA1
Ammo 919NATO10
Description 9x19mm Parabellum
Icon FiveSeven
Colour 255 255 255
ReloadTime 30
Recoil 4
Damage 1.5
Accuracy 5
ShootDelay 1
ShootSound GlockShoot
ReloadSound ColtReload
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.fiveseven
ModelScale 0.05
Texture Skin_Gun_fiveseven
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
