Name USP .45
ShortName USP45
Ammo 45ACP8
Description .45 ACP
Icon USP
Colour 255 255 255
ReloadTime 30
Recoil 1
Damage 1.5
Accuracy 8
ShootDelay 1
ShootSound USPShoot
ReloadSound TT33Reload
Mode SemiAuto
OneHanded true
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.2
Model mpack.usp
ModelScale 0.05
Texture Skin_Gun_usp
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
