Name 9K333 Verba
ShortName 9K333Verba
Ammo 9M39Igla
Icon 9K38Igla
Colour 255 255 255
ReloadTime 60
Recoil 15
Damage 1
Accuracy 1
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 1.0
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mw.Stinger
Texture 9K38Igla
ModelScale 1.0
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 9M39 Igla
