Name 9K34 Strela-4
ShortName 9K34Strela4
Ammo 9M39Igla
Icon 9K32Strela2
Colour 255 255 255
ReloadTime 65
Recoil 20
Damage 1
Accuracy 2
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 1.0
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mw.Stinger
Texture Strela2
ModelScale 1.0
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 9M39 Igla
