Name PZR Grom-M
ShortName PZRGromM
Ammo 9M39Igla
Icon PZRGrom
Colour 255 255 255
ReloadTime 70
Recoil 20
Damage 1
Accuracy 2
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 1.0
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mw.Stinger
Texture PZRGrom
ModelScale 1.0
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
MoveSpeedModifier 0.6
KnockbackModifier 0
ShowDamage true
ShowReloadTime true
Description 9M39 Igla
