Name RPG-7D
ShortName RPG7D
Ammo RPGRocketHE
Ammo RPGRocketAT
Icon RPG7D
Colour 255 255 255
ReloadTime 75
Recoil 32
Damage 1
Accuracy 4
ShootDelay 1
ShootSound RPGShoot
ReloadSound BazookaReload
Mode SemiAuto
BulletSpeed 2.5
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.rpg7
ModelScale 0.14
Texture Skin_Gun_rpg7
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description RPG Rocket
ShowDamage true
ShowReloadTime true
