Name AA-12
ShortName AA12
Ammo 12Gauge20
Ammo 12Gauge10
Icon AA12
Colour 255 255 255
ReloadTime 40
Recoil 5
Damage 1
Accuracy 50
NumBullets 15
RoundsPerMin 300
ShootSound ShotgunShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10.0
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.AA12
ModelScale 0.13
Texture Skin_Gun_AA12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 12 Gauge Clip
