Name Benelli M1014
ShortName BenelliM1014
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon M1014
Colour 255 255 255
ReloadTime 86
Recoil 8
NumBullets 8
Damage 1
Accuracy 10
ShootDelay 18
ShootSound M1014Shoot
ReloadSound M1014Reload
LoadIntoGun 4
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.m1014
ModelScale 0.07
Texture Skin_Gun_m1014
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
ShowDamage true
ShowReloadTime true
