Name DBV-12
ShortName DBV12
Ammo 12Gauge10
Icon DBV12
Colour 255 255 255
ReloadTime 50
Recoil 6
Damage 1
Accuracy 15
NumBullets 8
ShootDelay 4
ShootSound ShotgunShoot
ReloadSound MP44Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.ak12
ModelScale 0.07
Texture Skin_Gun_ak12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 12 Gauge Clip
