Name FP-6
ShortName FP6
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon FP6
Description 12 Gauge Shell
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 126
Recoil 20
NumBullets 5
Damage 1
Accuracy 25
ShootDelay 15
ShootSound W1200Shoot
ReloadSound W1200Reload
Mode SemiAuto
LoadIntoGun 5
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.qbs09
ModelScale 0.13
Texture Skin_Gun_qbs09
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
