Name M79 Thumper
ShortName M79Thumper
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon GL1
Colour 255 255 255
ReloadTime 50
Recoil 14
Damage 1
NumBullets 8
Accuracy 20
ShootDelay 1
ShootSound ShotgunShoot
ReloadSound ShotgunReload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.m79
ModelScale 0.07
Texture Skin_Gun_m79
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
ShowDamage true
ShowReloadTime true
