Name SPAS-15
ShortName SPAS15
Ammo 12Gauge10
Icon SPAS15
Colour 255 255 255
ReloadTime 50
Recoil 4
Damage 1
Accuracy 17
NumBullets 8
ShootDelay 3
ShootSound ShotgunShoot
ReloadSound MP44Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.spas15
ModelScale 0.12
Texture Skin_Gun_spas15
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Clip
ShowDamage true
ShowReloadTime true
