Name Saiga-12
ShortName Saiga12
Ammo 12Gauge10
Icon Saiga12
Colour 255 255 255
ReloadTime 50
Recoil 5
Damage 1
Accuracy 25
NumBullets 8
ShootDelay 3
ShootSound ShotgunShoot
ReloadSound MP44Reload
Mode SemiAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.saiga12
ModelScale 0.07
Texture Skin_Gun_saiga12
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Clip
ShowDamage true
ShowReloadTime true
