Name USAS-12
ShortName USAS12
Ammo 12Gauge10
Icon USAS12
Colour 255 255 255
ReloadTime 50
Recoil 6
Damage 1
Accuracy 15
NumBullets 8
RoundsPerMin 360
ShootSound ShotgunShoot
ReloadSound MP44Reload
Mode FullAuto
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mpack.m16a1
ModelScale 0.08
Texture Skin_Gun_m16a1
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 12 Gauge Clip
