Name Winchester Model 1887
ShortName Model1887
Ammo 12GaugeShell
Ammo 12GaugeBirdshot
Ammo 12GaugeFlechette
Ammo 12GaugeAP
Ammo 12GaugeSlug
Ammo 12GaugePoison
Ammo 12GaugeBiological
Ammo 12GaugeIncendiary
Ammo 12GaugeHE
Icon M1887
Colour 255 255 255
ReloadTime 86
Recoil 10
NumBullets 8
Damage 1
Accuracy 20
ShootDelay 20
ShootSound M1887Shoot
ReloadSound M1887Reload
LoadIntoGun 5
Mode SemiAuto
OneHanded True
BulletSpeed 10
Scope None
ZoomLevel 1.0
FOVZoomLevel 1.25
Model mw.1887
Texture M1887
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
Description 12 Gauge Shell
ShowDamage true
ShowReloadTime true
