Name DSR-50
ShortName DSR50
Ammo 50BMG5
Icon DSR50
Colour 255 255 255
ReloadTime 70
Recoil 13
Damage 2
Accuracy 1
ShootDelay 10
ShootSound M21Shoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwm21
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mpack.dsr
ModelScale 0.09
Texture Skin_Gun_dsr
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description .50 BMG
