Name Daewoo K14
ShortName DaewooK14
Ammo 338Lapua5
Ammo 338Lapua10
Icon K14
Colour 255 255 255
ReloadTime 70
Recoil 18
Damage 2
Accuracy 1
ShootDelay 14
ShootSound L96Shoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwm40a3
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mw.L96
Texture K14
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description .338 Lapua
