Name KNT-76
ShortName KNT76
Ammo 762NATO20
Icon KNT76
Colour 255 255 255
ReloadTime 40
Recoil 5
Damage 2
Accuracy 1
RoundsPerMin 200
ShootSound M14Shoot
ReloadSound ThompsonReload
Mode SemiAuto
BulletSpeed 10
Scope mwm21
ZoomLevel 6.0
FOVZoomLevel 1.25
Model mpack.mpt76
ModelScale 0.07
Texture Skin_Gun_mpt76
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 7.62x51mm NATO
