Name NSG-85
ShortName NSG85
Ammo 762MMR10
Description 7.62x54mmR
Icon NSG85
ShowDamage true
ShowReloadTime true
Colour 255 255 255
ReloadTime 40
Recoil 26
Damage 2
Accuracy 3
ShootDelay 12
ShootSound DragunovShoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwdragunov
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mpack.dragunov
ModelScale 0.54
Texture NSG85
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
