Name NTW-20
ShortName NTW20
Ammo 20MM1
Icon NTW20
Colour 255 255 255
ReloadTime 70
Recoil 30
Damage 2
Accuracy 1
ShootDelay 30
ShootSound BarrettShoot
ReloadSound BARReload
LoadIntoGun 3
Mode SemiAuto
BulletSpeed 10
Scope mwm40a3
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mpack.dsr
ModelScale 0.09
Texture Skin_Gun_dsr
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
Description 20mm
