Name Zijiang M99
ShortName Zijiang
Ammo 50BMG10
Ammo 50BMG10HE
Ammo 50BMG5
Description .50 BMG
Icon ZijiangM99
Colour 255 255 255
ReloadTime 40
Recoil 22
Damage 2
Accuracy 2
ShootDelay 16
ShootSound BarrettShoot
ReloadSound BARReload
Mode SemiAuto
BulletSpeed 10
Scope mwbarrett
ZoomLevel 10.0
FOVZoomLevel 1.0
Model mpack.m82
ModelScale 0.21
Texture Skin_Gun_m82
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
ShowDamage true
ShowReloadTime true
