Name Selbstladegewehr 259 (r)
ShortName SLG259R
Ammo 762MMR10
Description 7.62x54mmR
ShowDamage true
ShowReloadTime true
Icon SVT40
Colour 255 255 255
ReloadTime 50
Recoil 5
Damage 1
Accuracy 3
ShootDelay 2
ShootSound MosinNagantShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model W44.SVT40
Texture SkinSVT40
ModelScale 0.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
