Name Browning BLR (.22)
ShortName BrowningBLR22
Ammo 22LR1
Description .22 LR
ShowDamage true
ShowReloadTime true
Icon BrowningBLR
Colour 255 255 255
LoadIntoGun 5
ReloadTime 87
Recoil 8
Damage 1.5
Accuracy 7
ShootDelay 7
ShootSound lugerShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Model dunk.1895
ModelScale 1
Texture 1895
FOVZoomLevel 1.25
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
