Name Chiang Kai-Shek Rifle
ShortName ChiangKaiShekRifle
Ammo 792Mauser1
Description 7.92x57mm Mauser
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon Chiang
Colour 255 255 255
ReloadTime 60
Recoil 10
Damage 1.5
Accuracy 3
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture Chiang
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
