Name Hanyang Type 88 Rifle
ShortName HanyangType88
Ammo 792Mauser1
Description 7.92x57mm Mauser
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon Hanyang
Colour 255 255 255
ReloadTime 60
Recoil 8
Damage 1.5
Accuracy 2
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture SkinHanyang
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
