Name Kar 98a
ShortName Kar98A
Ammo 792Mauser1
Description 7.92x57mm Mauser
ShowDamage true
ShowReloadTime true
LoadIntoGun 5
Icon kar98k
Colour 255 255 255
ReloadTime 60
Recoil 12
Damage 1.5
Accuracy 4
ShootDelay 30
ShootSound kar98kShoot
ReloadSound kar98kReload
Mode SemiAuto
BulletSpeed 10
Scope None
Model ww2.Kar98k
Texture SkinKar98a
ModelScale 0.6
AllowAllAttachments true
AllowBarrelAttachments true
AllowScopeAttachments true
AllowStockAttachments true
AllowGripAttachments true
NumGenericAttachmentSlots 4
